ArraySize,ArrayType,SortType,N,Duration(µs)
2800,ReverseSorted,MergeSort,-1,647
2800,AlmostSorted,MergeSort,-1,612
2800,Random,HybridSort,5,496
2800,ReverseSorted,HybridSort,5,386
2800,AlmostSorted,HybridSort,5,358
2800,Random,HybridSort,10,495
2800,ReverseSorted,HybridSort,10,340
2800,AlmostSorted,HybridSort,10,308
2800,Random,HybridSort,20,456
2800,ReverseSorted,HybridSort,20,287
2800,AlmostSorted,HybridSort,20,270
2800,Random,HybridSort,50,405
2800,ReverseSorted,HybridSort,50,379
2800,AlmostSorted,HybridSort,50,307
2900,Random,MergeSort,-1,833
2900,ReverseSorted,MergeSort,-1,675
2900,AlmostSorted,MergeSort,-1,981
2900,Random,HybridSort,5,562
2900,ReverseSorted,HybridSort,5,426
2900,AlmostSorted,HybridSort,5,375
2900,Random,HybridSort,10,501
2900,ReverseSorted,HybridSort,10,753
2900,AlmostSorted,HybridSort,10,360
2900,Random,HybridSort,20,441
2900,ReverseSorted,HybridSort,20,308
2900,AlmostSorted,HybridSort,20,364
2900,Random,HybridSort,50,417
2900,ReverseSorted,HybridSort,50,402
2900,AlmostSorted,HybridSort,50,174
3000,Random,MergeSort,-1,793
3000,ReverseSorted,MergeSort,-1,672
3000,AlmostSorted,MergeSort,-1,654
3000,Random,HybridSort,5,643
3000,ReverseSorted,HybridSort,5,439
3000,AlmostSorted,HybridSort,5,454
3000,Random,HybridSort,10,492
3000,ReverseSorted,HybridSort,10,336
3000,AlmostSorted,HybridSort,10,340
3000,Random,HybridSort,20,482
3000,ReverseSorted,HybridSort,20,332
3000,AlmostSorted,HybridSort,20,363
3000,Random,HybridSort,50,435
3000,ReverseSorted,HybridSort,50,408
3000,AlmostSorted,HybridSort,50,193
3100,Random,MergeSort,-1,838
3100,ReverseSorted,MergeSort,-1,671
3100,AlmostSorted,MergeSort,-1,654
3100,Random,HybridSort,5,598
3100,ReverseSorted,HybridSort,5,430
3100,AlmostSorted,HybridSort,5,403
3100,Random,HybridSort,10,526
3100,ReverseSorted,HybridSort,10,353
3100,AlmostSorted,HybridSort,10,342
3100,Random,HybridSort,20,475
3100,ReverseSorted,HybridSort,20,323
3100,AlmostSorted,HybridSort,20,261
3100,Random,HybridSort,50,447
3100,ReverseSorted,HybridSort,50,441
3100,AlmostSorted,HybridSort,50,196
3200,Random,MergeSort,-1,857
3200,ReverseSorted,MergeSort,-1,722
3200,AlmostSorted,MergeSort,-1,719
3200,Random,HybridSort,5,611
3200,ReverseSorted,HybridSort,5,505
3200,AlmostSorted,HybridSort,5,449
3200,Random,HybridSort,10,556
3200,ReverseSorted,HybridSort,10,391
3200,AlmostSorted,HybridSort,10,331
3200,Random,HybridSort,20,509
3200,ReverseSorted,HybridSort,20,364
3200,AlmostSorted,HybridSort,20,293
3200,Random,HybridSort,50,465
3200,ReverseSorted,HybridSort,50,461
3200,AlmostSorted,HybridSort,50,219
3300,Random,MergeSort,-1,958
3300,ReverseSorted,MergeSort,-1,801
3300,AlmostSorted,MergeSort,-1,723
3300,Random,HybridSort,5,657
3300,ReverseSorted,HybridSort,5,482
3300,AlmostSorted,HybridSort,5,489
3300,Random,HybridSort,10,606
3300,ReverseSorted,HybridSort,10,374
3300,AlmostSorted,HybridSort,10,386
3300,Random,HybridSort,20,498
3300,ReverseSorted,HybridSort,20,373
3300,AlmostSorted,HybridSort,20,323
3300,Random,HybridSort,50,451
3300,ReverseSorted,HybridSort,50,352
3300,AlmostSorted,HybridSort,50,236
3400,Random,MergeSort,-1,924
3400,ReverseSorted,MergeSort,-1,812
3400,AlmostSorted,MergeSort,-1,759
3400,Random,HybridSort,5,653
3400,ReverseSorted,HybridSort,5,507
3400,AlmostSorted,HybridSort,5,499
3400,Random,HybridSort,10,617
3400,ReverseSorted,HybridSort,10,393
3400,AlmostSorted,HybridSort,10,363
3400,Random,HybridSort,20,517
3400,ReverseSorted,HybridSort,20,346
3400,AlmostSorted,HybridSort,20,315
3400,Random,HybridSort,50,480
3400,ReverseSorted,HybridSort,50,404
3400,AlmostSorted,HybridSort,50,242
3500,Random,MergeSort,-1,954
3500,ReverseSorted,MergeSort,-1,768
3500,AlmostSorted,MergeSort,-1,753
3500,Random,HybridSort,5,654
3500,ReverseSorted,HybridSort,5,464
3500,AlmostSorted,HybridSort,5,491
3500,Random,HybridSort,10,575
3500,ReverseSorted,HybridSort,10,396
3500,AlmostSorted,HybridSort,10,364
3500,Random,HybridSort,20,522
3500,ReverseSorted,HybridSort,20,412
3500,AlmostSorted,HybridSort,20,290
3500,Random,HybridSort,50,500
3500,ReverseSorted,HybridSort,50,399
3500,AlmostSorted,HybridSort,50,253
3600,Random,MergeSort,-1,1033
3600,ReverseSorted,MergeSort,-1,834
3600,AlmostSorted,MergeSort,-1,811
3600,Random,HybridSort,5,706
3600,ReverseSorted,HybridSort,5,478
3600,AlmostSorted,HybridSort,5,496
3600,Random,HybridSort,10,616
3600,ReverseSorted,HybridSort,10,440
3600,AlmostSorted,HybridSort,10,363
3600,Random,HybridSort,20,554
3600,ReverseSorted,HybridSort,20,428
3600,AlmostSorted,HybridSort,20,313
3600,Random,HybridSort,50,510
3600,ReverseSorted,HybridSort,50,417
3600,AlmostSorted,HybridSort,50,271
3700,Random,MergeSort,-1,1020
3700,ReverseSorted,MergeSort,-1,827
3700,AlmostSorted,MergeSort,-1,789
3700,Random,HybridSort,5,720
3700,ReverseSorted,HybridSort,5,507
3700,AlmostSorted,HybridSort,5,452
3700,Random,HybridSort,10,626
3700,ReverseSorted,HybridSort,10,439
3700,AlmostSorted,HybridSort,10,370
3700,Random,HybridSort,20,562
3700,ReverseSorted,HybridSort,20,422
3700,AlmostSorted,HybridSort,20,299
3700,Random,HybridSort,50,535
3700,ReverseSorted,HybridSort,50,473
3700,AlmostSorted,HybridSort,50,280
3800,Random,MergeSort,-1,1112
3800,ReverseSorted,MergeSort,-1,886
3800,AlmostSorted,MergeSort,-1,839
3800,Random,HybridSort,5,749
3800,ReverseSorted,HybridSort,5,502
3800,AlmostSorted,HybridSort,5,476
3800,Random,HybridSort,10,636
3800,ReverseSorted,HybridSort,10,415
3800,AlmostSorted,HybridSort,10,386
3800,Random,HybridSort,20,575
3800,ReverseSorted,HybridSort,20,429
3800,AlmostSorted,HybridSort,20,303
3800,Random,HybridSort,50,542
3800,ReverseSorted,HybridSort,50,450
3800,AlmostSorted,HybridSort,50,249
3900,Random,MergeSort,-1,1097
3900,ReverseSorted,MergeSort,-1,854
3900,AlmostSorted,MergeSort,-1,856
3900,Random,HybridSort,5,725
3900,ReverseSorted,HybridSort,5,498
3900,AlmostSorted,HybridSort,5,493
3900,Random,HybridSort,10,638
3900,ReverseSorted,HybridSort,10,441
3900,AlmostSorted,HybridSort,10,392
3900,Random,HybridSort,20,586
3900,ReverseSorted,HybridSort,20,426
3900,AlmostSorted,HybridSort,20,334
3900,Random,HybridSort,50,550
3900,ReverseSorted,HybridSort,50,474
3900,AlmostSorted,HybridSort,50,274
4000,Random,MergeSort,-1,1084
4000,ReverseSorted,MergeSort,-1,874
4000,AlmostSorted,MergeSort,-1,852
4000,Random,HybridSort,5,761
4000,ReverseSorted,HybridSort,5,512
4000,AlmostSorted,HybridSort,5,476
4000,Random,HybridSort,10,666
4000,ReverseSorted,HybridSort,10,444
4000,AlmostSorted,HybridSort,10,409
4000,Random,HybridSort,20,576
4000,ReverseSorted,HybridSort,20,415
4000,AlmostSorted,HybridSort,20,322
4000,Random,HybridSort,50,576
4000,ReverseSorted,HybridSort,50,482
4000,AlmostSorted,HybridSort,50,290
